"Gene","RBL1"
"ABHD5",0
"ABHD6",-0.9211
"ABHD7",-0.5391
"ABHD8",0
"ABHD9",0.2235
"ABI1",-1.3982
"ABI1",0.2311
"ABI2",-0.411
"ABI2",-0.2573
"ABI2B",0
"ABI3",0.4488
"ABI3BP",0
"ABL1",0.0414
"ABL1",-0.1235
"ABL1",0.0548
"ABL2",-0.3212
"ABL2",-0.0708
"AblBP3",0
"ABLIM1",0.0278
"ABLIM2",-0.5421
"ABLIM3",-0.8784
"ABLIM3",-0.4398
"ABO",-0.73
"ABP1",0
"abp620",0
"ABPZF",0
"ABR",0.1762
"ABRA",0.0293
"ABRACL",0
"ABS",0
"ABT1",-0.046
"ABTB1",0
"ABTB2",0
"AC-III",0
"ACAA1",1.0086
"ACAA2",-0.808
"ACACA",0
"ACACB",0
"ACAD10",0
"ACAD11",0
"ACAD8",-0.3306
"ACAD8",-0.4601
"ACAD9",0
"ACADL",0
"ACADM",0
"ACADS",0
"ACADSB",0
"ACADVL",0
"ACAN",0
"ACAP1",0
"ACAP2",0
"ACAP3",0
"ACAT1",0
"ACAT2",0
"ACBD3",0.6292
"ACBD3",-0.64
"ACBD4",0
"ACBD5",-0.2478
"ACBD5",-0.9193
"ACBD6",-0.0917
"ACBD7",2.6294
"ACBP",0
"ACCN1",0
"ACCN2",0
"ACCN3",0
"ACCS",0
"ACCSL",0
"ACD",0
"ACDP2",0
"ACE",-0.4781
"ACE2",-0.0379
"ACER1",0
"ACER2",0
"ACER3",0
"ACF",0
"ACF7",0
"ACHE",0
"ACHR",0
"ACIN1",0
"ACKR1",0
"ACKR2",0
"ACKR3",0
"ACKR4",0
"ACLY",0
"ACMSD",0
"ACN9",0.2576
"ACO",0
"ACO1",-0.0101
"ACO1",0.0765
"ACO2",0
"ACOD1",0
"ACON",0
"ACOT1",0
"ACOT11",0
"ACOT12",0
"ACOT13",0
"ACOT2",0
"ACOT4",0
"ACOT6",0
"ACOT7",0
"ACOT8",-0.8452
"ACOT9",1.3189
"ACOT9",-0.0181
"ACOX1",-3.6683
"ACOX1",-0.1506
"ACOX2",0
"ACOX3",0
"ACOXL",0
"ACP1",0.3604
"ACP1",-0.0778
"ACP2",-0.0171
"ACP2",-0.126
"ACP33",0
"ACP5",0
"ACP6",0
"ACP7",0
"ACPP",0.119
"ACPP",0.1308
"ACPT",0
"ACR",0
"ACRBP",0
"ACRC",0
"ACRV1",-0.3159
"ACSBG1",0
"ACSBG2",0
"ACSF2",0
"ACSF3",0
"ACSL1",-1.574
"ACSL3",0.8983
"ACSL3",-0.6475
"ACSL4",0
"ACSL5",0
"ACSL6",-0.028
"ACSM1",0
"ACSM2A",0
"ACSM2B",0
"ACSM3",0
"ACSM4",0
"ACSM5",0
"ACSM6",0
"ACSS1",0
"ACSS2",-0.3122
"ACSS2",0.1897
"ACSS3",0
"ACT",0
"ACTA1",-0.4992
"ACTA2",0.4156
"ACTB",0
"ACTBL2",0
"ACTC1",0
"ACTG1",0
"ACTG2",-0.3606
"ACTL10",0
"ACTL6A",-0.1795
"ACTL6B",0.0614
"ACTL7A",0
"ACTL7B",0.0656
"ACTL8",0
"ACTL9",0
"ACTN1",0
"ACTN2",0
"ACTN3",0
"ACTN4",0
"ACTR10",0
"ACTR1A",0
"ACTR1B",0
"ACTR2",0
"ACTR3",0.3423
"ACTR3",1.4022
"ACTR3",1.9649
"ACTR3B",-0.0894
"ACTR3B",-0.2488
"ACTR3C",0
"ACTR5",0.1262
"ACTR6",0
"ACTR8",-0.1776
"ACTRT1",0
"ACTRT2",0
"ACTRT3",0
"ACVR1",-0.6355
"ACVR1B",3.484
"ACVR1B",-0.4179
"ACVR1C",0
"ACVR2A",0
"ACVR2B",0.5776
"ACVRL1",-0.412
"ACVRL1",-0.0747
"ACY1",0
"ACY3",0
"ACYP1",0
"ACYP2",0
"AD013",0
"AD023",0
"AD3LPAD5",0
"AD7C-NTP",0
"ADA",-0.6014
"ADAD1",0
"ADAD2",0
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM18",0
"ADAM19",0
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",0.0784
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",5.3617
"ADAM9",-0.2366
"ADAMDEC1",-0.4713
"ADAMTS1",-0.6779
"ADAMTS1",-0.7526
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0
"ADAMTS3",-0.0833
"ADAMTS3",0.0074
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",0.0482
"ADAMTS6",-0.5472
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",-0.2046
"ADAMTS9",-0.557
"ADAMTSL1",-0.0607
"ADAMTSL1",-0.046
"ADAMTSL2",0
"ADAMTSL3",-0.0259
"ADAMTSL3",0.3489
"ADAMTSL4",-0.4657
"ADAMTSL4",0.1279
"ADAMTSL4",-0.2333
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADAR3",0
"ADARB1",0.7948
"ADARB1",0.0616
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",-0.0201
"ADC",-0.0066
"ADCK1",0.2254
"ADCK2",0.0066
"ADCK2",-0.0863
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",0.1408
"ADCY3",-0.6506
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",-0.0478
"ADD1",0.0484
"ADD2",0
"ADD3",0.1312
"ADD3",-0.8461
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",0.0554
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",0.6212
"ADNP",-0.8469
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",-1.1669
"ADORA2A",-0.1522
"ADORA2B",0
"ADPGK",0
"ADPRH",-0.2094
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",-0.0245
"ADRB2",-0.0259
"ADRB3",0
"ADRBK1",-0.5065
"ADRM1",-0.1435
"ADRM1",-0.0764
"ADSL",0
"ADSS",0
"ADSSL1",0.1829
"ADTRP",0
"AEBP1",0.2402
"AEBP1",-0.2077
"AEBP2",-0.1705
"AEBP2",0.6314
"AEGL1",0
"AEN",0
"AES",-0.1898
"AES",0.1179
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-0.1859
"AFDN",0
"AFF1",0.0403
"AFF1",-0.2198
"AFF1",0.0158
"AFF2",0
"AFF3",-0.2961
"AFF4",-0.2632
"AFF4",-0.2924
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-0.7335
"AGFG1",0
"AGFG2",0
"AGGF1",0.1247
"AGGF1",0.3275
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",-0.0694
"AGPAT3",2.1625
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",0.1362
"AGPAT6",0.0843
"AGPAT9",0
"AGPS",0
"AGR2",-1.5487
"AGR3",0
"AGRIN",3.4583
"AGRIN",-0.5407
"AGRN",0
"AGRP",-0.1583
"AGS1",0
"AGT",-0.0258
"AGTPBP1",0
"AGTR1",-0.1032
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",-0.4713
"AHCTF1",0.3783
"AHCTF1",1.4254
"AHCY",-0.1139
"AHCY",-0.3319
"AHCYL1",0.0925
"AHCYL2",0
"AHDC1",0.0548
"AHDC1",0.1441
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",-2.6615
"AHRR",0.1387
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",-0.07
"AIG1",-0.0143
"aik2",0
"aik3",0
"AIM1",-0.4275
"AIM1L",0.905
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",-0.5111
"AIP",-0.7059
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",0.3975
"AIRE",0.0778
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",0.4264
"AJUBA",0
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",0
"AK027173",0
"AK027209",0
"AK027315",0
"AK027541",0
"AK027667",0
"AK054718",0
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",0
"AK057576",0
"AK057652",0
"AK074144",0
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",0
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",0
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",0
"AK093416",0
"AK093532",0
"AK093987",0
"AK094154",0
"AK094175",0
"AK094334",0
"AK094447",0
"AK094623",0
"AK095167",0
"AK095300",0
"AK095583",0
"AK095707",0
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",0
"AK097085",0
"AK097197",0
"AK097322",0
"AK097472",0
"AK098081",0
"AK098134",0
"AK098220",0
"AK098427",0
"AK098478",0
"AK098511",0
"AK098597",0
"AK1",0
"AK123483",0
"AK123627",0
"AK123765",0
"AK123861",0
"AK124166",0
"AK124173",0
"AK124263",0
"AK124281",0
"AK124352",0
"AK124426",0
"AK124470",0
"AK124841",0
"AK124941",0
"AK125129",0
"AK126329",0
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",0
"AK129956",0
"AK130099",0
"AK130644",0
"AK130891",0
"AK2",-0.3825
"AK2",0.7679
"AK3",-0.0771
"AK304575",0
"AK3L1",0
"AK4",0
"AK5",0.1419
"AK5",0.2942
"AK6",0
"AK7",0
"AK8",0
"AK9",0
"AKAIN1",0
"AKAP1",0
"AKAP10",0
"AKAP11",0
"AKAP12",-0.4276
"AKAP13",-0.0483
"AKAP13",-0.7814
"AKAP14",0
"AKAP17A",0
"AKAP2",0
"AKAP3",0
"AKAP4",0
"AKAP5",0
"AKAP6",0
"AKAP7",0.3927
"AKAP8",0
"AKAP8L",0.4755
"AKAP9",2.2211
"AKAP9",-0.1568
"AKD1",0
"AKIP1",0
"AKIRIN1",0
"AKIRIN2",0
"AK0.0",0.2158
"AK0.0D1",0
"AKR1A1",-0.4893
"AKR1B1",0
"AKR1B10",0
"AKR1B15",0
"AKR1C1",0.2976
"AKR1C1",0.6122
"AKR1C1",0.1715
"AKR1C2",0
"AKR1C3",-6.1619
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",0
"AKR7A3",0
"AKT1",0
"AKT1S1",0
"AKT2",0
"AKT3",-0.1107
"AKT3",-0.0625
"AKTIP",0
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",0
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",1.4701
"ALDH1A3",-0.6026
"ALDH1B1",-0.5697
"ALDH1B1",-0.2009
"ALDH1L1",0
"ALDH1L2",-0.0338
"ALDH2",0
"ALDH3A1",0.7038
"ALDH3A2",0.5216
"ALDH3B1",0
"ALDH3B2",-0.3257
"ALDH4A1",-0.847
"ALDH4A1",-2.1582
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",0.3702
"ALDH7A1",-0.4206
"ALDH8A1",0
"ALDH9A1",-1.091
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",-1.1312
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",-1.1402
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",1.7566
"ALG9",0.2949
"ALK",-0.0321
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",0.6027
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0.5783
"ALMS1",0.1247
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",0.8116
"ALOX5",0
"ALOX5AP",-0.3752
"ALOX5AP",-0.1314
"ALOXE3",0.0398
"alpha-CP1",0
"ALPI",0.4494
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",0.0679
"ALS2CR13",-0.0444
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.0959
"ALS2CR8",0.3033
"ALX1",0
"ALX3",-0.6872
"ALX4",0
"ALYREF",0
"AMAC1L2",-0.0067
"AMACR",-0.5463
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.3384
"AMHR2",0
"AMIGO1",0
"AMIGO2",-1.3138
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.8187
"AMOT",-0.1364
"AMOTL1",0
"AMOTL2",0.2764
"AMPD1",0
"AMPD2",0
"AMPD3",0.0931
"AMPD3",-0.1205
"AMPH",0
"AMPK gamma2",0
"AMT",0.0646
"AMT",0.2462
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",-0.5929
"AMZ2",0
"A0.0PC1",0.0077
"A0.0PC10",0
"A0.0PC11",-0.1679
"A0.0PC13",0.2825
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.1507
"A0.0PC5",-0.0925
"A0.0PC7",-0.0977
"A0.0PC7",-0.2157
"ANG",0.3815
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",-0.4983
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",5.2947
"ANK3",-1.4009
"ANKAR",0
"ANKDD1A",-0.1679
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",0.0581
"ANKH",0.0967
"ANKHD1",0.0561
"ANKHD1",3.5454
"ANKHD1",-1.3704
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",0.0626
"ANKRA2",0
"ANKRD1",0.4452
"ANKRD10",0.2297
"ANKRD10",-0.1129
"ANKRD11",0
"ANKRD12",0.3045
"ANKRD12",0.149
"ANKRD13A",0.1061
"ANKRD13A",0.0291
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",0.1849
"ANKRD15",1.7804
"ANKRD16",0
"ANKRD17",-0.3413
"ANKRD17",0.2529
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",-0.9343
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",-0.022
"ANKRD28",0.6425
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",-0.0444
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",-0.014
"ANKRD42",0
"ANKRD43",-0.508
"ANKRD43",-0.0341
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.583
"ANKRD47",-0.2973
"ANKRD49",-0.0015
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",0.913
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",1.5796
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",0.0182
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",0.0667
"ANTXR2",-0.7186
"ANX14",0
"ANX3",0
"ANXA1",0.0432
"ANXA10",0
"ANXA11",-0.0082
"ANXA11",0.274
"ANXA13",0
"ANXA2",0
"ANXA2P1",0.0931
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.4479
"ANXA4",0.3807
"ANXA5",-0.0589
"ANXA6",0
"ANXA7",0
"ANXA8",0.0207
"ANXA8L1",0
"ANXA9",-0.9632
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.2287
"AOF1",-0.1831
"AOF2",-0.9419
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.1388
"AP1M1",-1.2347
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",-0.1541
"AP3B1",0
"AP3B2",0
"AP3D1",-0.2296
"AP3D1",3.0471
"AP3M1",0
"AP3M2",-0.1687
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",0.0601
"AP4E1",0
"AP4M1",0.3689
"AP4S1",-0.0974
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",-0.2821
"APBA2",-0.0135
"APBA3",0
"APBB1",-0.0447
"APBB1",-1.0047
"APBB1IP",0
"APBB2",0.3548
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",0.43
"APCDD1L",0
"APCS",0
"APE",0
"APEH",-0.4148
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",0.2923
"APLN",2.0006
"APLN",0.375
"APLNR",0
"APLP1",0
"APLP2",-2.3393
"APLP2",-0.3857
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",-0.0055
"APOA2",0
"APOA4",-0.1947
"APOA4",-0.1744
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",-0.0411
"APOBEC3A_B",0
"APOBEC3B",0.0415
"APOBEC3C",1.1675
"APOBEC3D",0
"APOBEC3F",0.7393
"APOBEC3G",0.4707
"APOBEC3H",0
"APOBEC4",0
"APOC1",0.3416
"APOC1",0.4177
"APOC3",-0.4085
"APOC4",0.4026
"APOD",0
"APOE",-0.5003
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.3433
"APOL6",0.1027
"APOL6",0.4355
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",1.9395
"APPBP2",-0.2976
"APPBP2",-0.2617
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",0.2066
"AQP2",-0.5286
"AQP2",-0.385
"AQP3",-0.0262
"AQP3",-0.1131
"AQP4",0
"AQP5",0
"AQP6",0.237
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",-0.959
"AQR",0
"AR",0.2017
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",0.1594
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",0.2557
"ARF5",0
"ARF6",-1.0739
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",1.9934
"ARFGEF2",-0.1763
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
"ARG2",0
"ARGFX",0
"ARGLU1",0
"ARHGAP1",0
"ARHGAP10",0
"ARHGAP11A",-0.1467
