"Gene","CBX4_Down"
"ABI2",0
"ABI2",0
"ABI2B",0
"ABI3",0
"ABI3BP",0
"ABL1",0
"ABL1",0
"ABL1",0
"ABL2",1.421
"ABL2",1.421
"AblBP3",0
"ABLIM1",0
"ABLIM2",0
"ABLIM3",1.4325
"ABLIM3",1.4325
"ABO",0
"ABP1",1.4457
"abp620",0
"ABPZF",0
"ABR",0
"ABRA",0
"ABRACL",0
"ABS",0
"ABT1",0
"ABTB1",0
"ABTB2",1.5701
"AC-III",0
"ACAA1",0
"ACAA2",0
"ACACA",0
"ACACB",0
"ACAD10",0
"ACAD11",0
"ACAD8",0
"ACAD8",0
"ACAD9",0
"ACADL",0
"ACADM",0
"ACADS",0
"ACADSB",0
"ACADVL",0
"ACAN",0
"ACAP1",0
"ACAP2",0
"ACAP3",1.6941
"ACAT1",0
"ACAT2",0
"ACBD3",0
"ACBD3",0
"ACBD4",0
"ACBD5",0
"ACBD5",0
"ACBD6",0
"ACBD7",-2.1583
"ACBP",0
"ACCN1",0
"ACCN2",0
"ACCN3",0
"ACCS",0
"ACCSL",0
"ACD",0
"ACDP2",0
"ACE",0
"ACE2",1.6113
"ACER1",0
"ACER2",0
"ACER3",0
"ACF",0
"ACF7",0
"ACHE",0
"ACHR",0
"ACIN1",1.6865
"ACKR1",0
"ACKR2",0
"ACKR3",0
"ACKR4",0
"ACLY",1.4363
"ACMSD",0
"ACN9",0
"ACO",0
"ACO1",0
"ACO1",0
"ACO2",0
"ACOD1",0
"ACON",0
"ACOT1",0
"ACOT11",0
"ACOT12",0
"ACOT13",0
"ACOT2",0
"ACOT4",0
"ACOT6",0
"ACOT7",0
"ACOT8",0
"ACOT9",0
"ACOT9",0
"ACOX1",1.5004
"ACOX1",1.5004
"ACOX2",-1.6359
"ACOX3",0
"ACOXL",0
"ACP1",0
"ACP1",0
"ACP2",0
"ACP2",0
"ACP33",0
"ACP5",0
"ACP6",0
"ACP7",0
"ACPP",0
"ACPP",0
"ACPT",0
"ACR",0
"ACRBP",0
"ACRC",1.4907
"ACRV1",0
"ACSBG1",0
"ACSBG2",0
"ACSF2",1.548
"ACSF3",0
"ACSL1",1.5542
"ACSL3",0
"ACSL3",0
"ACSL4",0
"ACSL5",0
"ACSL6",0
"ACSM1",0
"ACSM2A",0
"ACSM2B",0
"ACSM3",0
"ACSM4",0
"ACSM5",0
"ACSM6",0
"ACSS1",0
"ACSS2",0
"ACSS2",0
"ACSS3",0
"ACT",0
"ACTA1",0
"ACTA2",0
"ACTB",0
"ACTBL2",0
"ACTC1",0
"ACTG1",0
"ACTG2",0
"ACTL10",0
"ACTL6A",0
"ACTL6B",0
"ACTL7A",0
"ACTL7B",0
"ACTL8",0
"ACTL9",0
"ACTN1",0
"ACTN2",0
"ACTN3",0
"ACTN4",1.4597
"ACTR10",0
"ACTR1A",0
"ACTR1B",0
"ACTR2",0
"ACTR3",1.5427
"ACTR3",1.5427
"ACTR3",1.5427
"ACTR3B",0
"ACTR3B",0
"ACTR3C",0
"ACTR5",0
"ACTR6",0
"ACTR8",0
"ACTRT1",0
"ACTRT2",0
"ACTRT3",0
"ACVR1",0
"ACVR1B",0
"ACVR1B",0
"ACVR1C",0
"ACVR2A",0
"ACVR2B",0
"ACVRL1",0
"ACVRL1",0
"ACY1",0
"ACY3",0
"ACYP1",0
"ACYP2",0
"AD013",0
"AD023",0
"AD3LPAD5",0
"AD7C-NTP",0
"ADA",0
"ADAD1",0
"ADAD2",0
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",1.4197
"ADAM18",0
"ADAM19",2.2588
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",0
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",1.5046
"ADAM9",1.5046
"ADAMDEC1",0
"ADAMTS1",2.0765
"ADAMTS1",2.0765
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",1.5514
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",-1.6379
"ADAMTS3",0
"ADAMTS3",0
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",0
"ADAMTS6",0
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",0
"ADAMTS9",0
"ADAMTSL1",0
"ADAMTSL1",0
"ADAMTSL2",0
"ADAMTSL3",0
"ADAMTSL3",0
"ADAMTSL4",1.4702
"ADAMTSL4",1.4702
"ADAMTSL4",1.4702
"ADAMTSL5",0
"ADAP1",0
"ADAP2",1.4956
"ADAR",0
"ADAR3",0
"ADARB1",0
"ADARB1",0
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",0
"ADC",0
"ADCK1",0
"ADCK2",0
"ADCK2",0
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",0
"ADCY3",0
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",-1.4054
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",0
"ADD1",0
"ADD2",0
"ADD3",1.4939
"ADD3",1.4939
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",1.4483
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",0
"ADNP",0
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",0
"ADORA2A",0
"ADORA2B",0
"ADPGK",0
"ADPRH",0
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",1.4561
"ADRA1D",0
"ADRA2B",0
"ADRA2C",1.4246
"ADRB1",0
"ADRB2",0
"ADRB3",0
"ADRBK1",0
"ADRM1",0
"ADRM1",0
"ADSL",0
"ADSS",0
"ADSSL1",1.4334
"ADTRP",0
"AEBP1",-1.7267
"AEBP1",-1.7267
"AEBP2",0
"AEBP2",0
"AEGL1",0
"AEN",0
"AES",0
"AES",0
"AF009267",3.0985
"AF010144",-2.4691
"AF011757",0
"AF026246",1.4369
"AF037219",3.7348
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",-1.4084
"AF086044",0
"AF086205",0
"AF086216",-1.6873
"AF086321",1.6629
"AF086429",0
"AF086536",1.6779
"AF086551",1.4952
"AF086790",-1.4664
"AF090926",1.5968
"AF090930",1.9388
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",1.6844
"AF116642",1.6839
"AF116667",0
"AF116688",1.985
"AF116719",-1.4573
"AF119852",1.4889
"AF119913",2.4065
"AF130099",-1.5168
"AF131762",0
"AF131782",1.5347
"AF140225",0
"AF143879",-1.6113
"AF144054",0
"AF15Q14",0
"AF227517",1.8614
"AF241539",0
"AF289610",1.7767
"AF289615",4.9279
"AF311304",0
"AF318321",1.5307
"AF351612",1.7629
"AF3P21",0
"AF531436",2.528
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",0
"AFDN",0
"AFF1",2.1136
"AFF1",2.1136
"AFF1",2.1136
"AFF2",0
"AFF3",0
"AFF4",1.9107
"AFF4",1.9107
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",1.5127
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",1.7918
"AGAP8",1.5542
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",0
"AGFG1",0
"AGFG2",0
"AGGF1",0
"AGGF1",0
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",1.4172
"AGPAT3",1.4172
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",0
"AGPAT6",0
"AGPAT9",0
"AGPS",0
"AGR2",1.5522
"AGR3",0
"AGRIN",0
"AGRIN",0
"AGRN",0
"AGRP",0
"AGS1",0
"AGT",0
"AGTPBP1",0
"AGTR1",0
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",0
"AHCTF1",0
"AHCTF1",0
"AHCY",0
"AHCY",0
"AHCYL1",0
"AHCYL2",0
"AHDC1",0
"AHDC1",0
"AHI1",0
"AH0.0K",2.1812
"AH0.0K2",2.1188
"AHR",0
"AHRR",0
"AHSA1",0
"AHSP",0
"AI140519",1.4462
"AI161396",-1.5935
"AI240896",-1.4344
"AI719574",1.4143
"AI791206",3.1347
"AI887037",-1.4874
"AI922845",-1.5656
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",1.4354
"AIG1",0
"aik2",0
"aik3",0
"AIM1",0
"AIM1L",0
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",0
"AIP",0
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",0
"AIRE",0
"airm",0
"AJ227863",1.5168
"AJ293393",-2.1898
"AJ307469",1.6597
"AJ312026",1.8576
"AJ312027",2.3383
"AJAP1",0
"AJUBA",0
"AK000085",0
"AK000144",1.6392
"AK000420",2.6056
"AK000809",1.7069
"AK000925",2.1881
"AK000954",0
"AK001089",1.5171
"AK001118",5.5571
"AK001120",1.774
"AK001808",2.3431
"AK001846",0
"AK021554",4.5964
"AK021570",0
"AK021595",2.0137
"AK021606",0
"AK021744",1.5376
"AK021804",1.5183
"AK021824",3.3033
"AK021842",0
"AK021906",2.0443
"AK022004",1.5897
"AK022016",2.5011
"AK022020",0
"AK022044",7.1456
"AK022062",2.0902
"AK022066",1.4317
"AK022083",1.6101
"AK022086",2.5857
"AK022109",1.5449
"AK022140",1.6552
"AK022150",3.973
"AK022183",1.5637
"AK022204",2.2568
"AK022223",2.3089
"AK022268",5.172
"AK022299",1.6932
"AK022337",2.2962
"AK022339",-1.4041
"AK022346",4.4339
"AK022351",2.9033
"AK022364",1.4123
"AK022443",4.0251
"AK022479",2.1961
"AK023018",0
"AK023048",0
"AK023086",1.6134
"AK023391",1.4299
"AK023400",2.0767
"AK023412",2.0818
"AK023472",1.4383
"AK023526",1.6505
"AK023542",3.0246
"AK023572",1.8444
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",4.6888
"AK023774",1.6351
"AK023831",2.4188
"AK023892",1.4569
"AK023954",0
"AK024147",1.9277
"AK024243",0
"AK024315",1.524
"AK024382",-1.8695
"AK024389",1.5846
"AK024470",2.6462
"AK024566",-1.4486
"AK024898",0
"AK024900",3.1926
"AK024926",1.8371
"AK024937",2.3814
"AK024956",3.2313
"AK025047",-1.6752
"AK025082",1.6152
"AK025360",1.5229
"AK025669",1.7229
"AK025887",1.8413
"AK026020",1.8243
"AK026418",3.6275
"AK026477",1.8079
"AK026517",1.6061
"AK026896",4.9456
"AK026903",-1.5076
"AK027091",3.1648
"AK027173",0
"AK027209",5.2638
"AK027315",-1.4748
"AK027541",0
"AK027667",-1.5643
"AK054718",0
"AK054840",1.7744
"AK054895",2.4861
"AK055438",-1.4321
"AK055501",-1.4955
"AK055821",1.7302
"AK056630",1.4572
"AK056744",1.9251
"AK057088",0
"AK057576",1.95
"AK057652",0
"AK074144",1.6189
"AK074181",1.6168
"AK074696",4.2014
"AK090397",1.8034
"AK090405",0
"AK090407",1.4379
"AK090463",1.474
"AK090477",7.6313
"AK090897",2.0522
"AK091057",1.5556
"AK091308",2.3945
"AK091744",1.9876
"AK092349",0
"AK092379",2.6876
"AK092468",2.4564
"AK092668",1.7617
"AK092810",0
"AK093416",2.0597
"AK093532",1.5853
"AK093987",-1.9231
"AK094154",0
"AK094175",1.4132
"AK094334",2.1284
"AK094447",-1.4683
"AK094623",2.1615
"AK095167",0
"AK095300",1.4517
"AK095583",0
"AK095707",1.4821
"AK095791",1.5148
"AK096241",-1.643
"AK096250",1.6345
"AK096500",1.7757
"AK096674",-1.4737
"AK096677",0
"AK097085",3.1521
"AK097197",1.4523
"AK097322",-1.4855
"AK097472",0
"AK098081",0
"AK098134",1.6376
"AK098220",2.3448
"AK098427",-1.5217
"AK098478",1.6575
"AK098511",1.5633
"AK098597",1.559
"AK1",0
"AK123483",0
"AK123627",1.6317
"AK123765",0
"AK123861",1.4708
"AK124166",1.8455
"AK124173",1.6332
"AK124263",1.5675
"AK124281",1.4171
"AK124352",1.6729
"AK124426",0
"AK124470",1.7937
"AK124841",0
"AK124941",1.9492
"AK125129",1.6839
"AK126329",0
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",4.7946
"AK129956",0
"AK130099",0
"AK130644",8.6306
"AK130891",2.9147
"AK2",0
"AK2",0
"AK3",0
"AK304575",1.8009
"AK3L1",1.5464
"AK4",0
"AK5",0
"AK5",0
"AK6",0
"AK7",0
"AK8",0
"AK9",0
"AKAIN1",0
"AKAP1",0
"AKAP10",1.6058
"AKAP11",1.4165
"AKAP12",1.7983
"AKAP13",1.6129
"AKAP13",1.6129
"AKAP14",0
"AKAP17A",0
"AKAP2",1.4035
"AKAP3",0
"AKAP4",0
"AKAP5",0
"AKAP6",0
"AKAP7",-1.654
"AKAP8",0
"AKAP8L",2.4815
"AKAP9",1.7254
"AKAP9",1.7254
"AKD1",0
"AKIP1",0
"AKIRIN1",0
"AKIRIN2",0
"AK0.0",0
"AK0.0D1",0
"AKR1A1",0
"AKR1B1",0
"AKR1B10",0
"AKR1B15",0
"AKR1C1",1.4666
"AKR1C1",1.4666
"AKR1C1",1.4666
"AKR1C2",0
"AKR1C3",0
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",0
"AKR7A3",0
"AKT1",-1.4171
"AKT1S1",0
"AKT2",0
"AKT3",0
"AKT3",0
"AKTIP",0
"AL049390",4.8376
"AL050122",1.4778
"AL050185",2.0642
"AL079294",1.9845
"AL080082",0
"AL080232",10.9884
"AL109784",2.0475
"AL134462",1.7029
"AL137318",1.4171
"AL137400",1.4374
"AL359650",2.1544
"AL390143",6.8692
"AL390214",8.4576
"AL832142",2.0667
"AL832146",1.8516
"AL832806",2.7447
"AL832820",2.4583
"AL833114",1.5865
"AL833452",2.145
"AL833696",1.4979
"AL834280",0
"ALAD",0
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",-1.5161
"ALDH1A3",1.8226
"ALDH1A3",1.8226
"ALDH1B1",0
"ALDH1B1",0
"ALDH1L1",0
"ALDH1L2",0
"ALDH2",1.5573
"ALDH3A1",0
"ALDH3A2",0
"ALDH3B1",0
"ALDH3B2",0
"ALDH4A1",0
"ALDH4A1",0
"ALDH5",0
"ALDH5A1",1.567
"ALDH6A1",0
"ALDH7A1",1.6092
"ALDH8A1",0
"ALDH9A1",0
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",-1.4943
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",0
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",0
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",0
"ALG9",0
"ALK",0
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",0
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0
"ALMS1",0
"ALOX12",-1.6554
"ALOX12B",1.5695
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",0
"ALOX5",0
"ALOX5AP",0
"ALOX5AP",0
"ALOXE3",0
"alpha-CP1",0
"ALPI",0
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",1.5311
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",0
"ALS2CR13",0
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0
"ALS2CR8",0
"ALX1",0
"ALX3",0
"ALX4",0
"ALYREF",0
"AMAC1L2",1.4733
"AMACR",1.4251
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",-1.5899
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0
"AMHR2",0
"AMIGO1",0
"AMIGO2",0
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",0
"AMOT",0
"AMOTL1",0
"AMOTL2",0
"AMPD1",0
"AMPD2",0
"AMPD3",0
"AMPD3",0
"AMPH",0
"AMPK gamma2",0
"AMT",0
"AMT",0
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",0
"AMZ2",0
"A0.0PC1",-1.4413
"A0.0PC10",0
"A0.0PC11",0
"A0.0PC13",0
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",0
"A0.0PC5",0
"A0.0PC7",0
"A0.0PC7",0
"ANG",0
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",2.6961
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",1.76
"ANK3",1.76
"ANKAR",0
"ANKDD1A",0
"ANKEF1",0
"ANKFN1",0
"ANKFY1",1.6954
"ANKH",0
"ANKH",0
"ANKHD1",0
"ANKHD1",0
"ANKHD1",0
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",1.5904
"ANKK1",1.8021
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",0
"ANKRA2",0
"ANKRD1",0
"ANKRD10",0
"ANKRD10",0
"ANKRD11",1.7263
"ANKRD12",0
"ANKRD12",0
"ANKRD13A",0
"ANKRD13A",0
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",0
"ANKRD15",0
"ANKRD16",0
"ANKRD17",0
"ANKRD17",0
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",1.4229
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",0
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",0
"ANKRD28",0
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",-1.5518
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",1.5505
"ANKRD36",2.7087
"ANKRD36B",2.8799
"ANKRD37",0
"ANKRD39",0
"ANKRD40",0
"ANKRD42",1.4793
"ANKRD43",0
"ANKRD43",0
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0
"ANKRD47",0
"ANKRD49",0
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",0
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",0
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",1.4466
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",0
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",-1.5931
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",1.4141
"ANTXR2",1.4141
"ANX14",0
"ANX3",0
"ANXA1",0
"ANXA10",0
"ANXA11",0
"ANXA11",0
"ANXA13",0
"ANXA2",0
"ANXA2P1",0
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0
"ANXA4",0
"ANXA5",0
"ANXA6",0
"ANXA7",0
"ANXA8",0
"ANXA8L1",0
"ANXA9",1.6912
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",0
"AOF1",0
"AOF2",0
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",0
"AP1M1",0
"AP1M2",0
"AP1S1",1.6913
"AP1S2",-1.4612
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",0
"AP3B1",0
"AP3B2",0
"AP3D1",0
"AP3D1",0
"AP3M1",0
"AP3M2",0
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",0
"AP4E1",0
"AP4M1",0
"AP4S1",0
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",1.4019
"APBA1",0
"APBA2",0
"APBA2",0
"APBA3",0
"APBB1",0
"APBB1",0
"APBB1IP",0
"APBB2",0
"APBB3",0
"APC",0
"APC10",0
"APC2",1.6321
"APCDD1",0
"APCDD1L",0
"APCS",0
"APE",0
"APEH",0
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",1.4079
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",0
"APLN",0
"APLN",0
"APLNR",0
"APLP1",0
"APLP2",0
"APLP2",0
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0
"APOA2",0
"APOA4",0
"APOA4",0
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",1.5468
"APOBEC3A_B",0
"APOBEC3B",0
"APOBEC3C",0
"APOBEC3D",0
"APOBEC3F",0
"APOBEC3G",0
"APOBEC3H",0
"APOBEC4",0
"APOC1",0
"APOC1",0
"APOC3",0
"APOC4",0
"APOD",0
"APOE",2.0814
"APOF",0
"APOH",0
"APOL1",0
"APOL2",1.4198
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0
"APOL6",0
"APOL6",0
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",-1.4112
"APOPT1",0
"APP",1.8586
"APPBP2",0
"APPBP2",0
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",0
"AQP2",0
"AQP2",0
"AQP3",0
"AQP3",0
"AQP4",0
"AQP5",2.0815
"AQP6",0
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",1.6859
"AQR",0
"AR",0
"ARAF",0
"ARAP1",0
"ARAP2",1.4824
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",1.4141
"AREL1",0
"ARF1",1.8014
"ARF3",0
"ARF4",0
"ARF5",0
"ARF6",0
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",0
"ARFGEF2",0
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
"ARG2",0
"ARGFX",0
"ARGLU1",0
"ARHGAP1",0
"ARHGAP10",0
"ARHGAP11A",-1.5337
"ARHGAP11A",-1.5337
"ARHGAP11A",-1.5337
"ARHGAP11B",0
"ARHGAP12",0
"ARHGAP15",0
"ARHGAP17",0
"ARHGAP18",0
"ARHGAP19",0
"ARHGAP20",0
"ARHGAP21",0
"ARHGAP22",0
"ARHGAP23",0
"ARHGAP24",0
"ARHGAP24",0
"ARHGAP25",0
"ARHGAP26",0
"ARHGAP27",0
"ARHGAP28",-1.4692
"ARHGAP29",1.549
"ARHGAP30",0
"ARHGAP31",0
"ARHGAP32",0
"ARHGAP33",0
