"Gene","GRHL2"
"ABHD5",0
"ABHD6",2.5777
"ABHD7",-0.1851
"ABHD8",0
"ABHD9",-0.0554
"ABI1",-0.9739
"ABI1",-0.0433
"ABI2",-0.6127
"ABI2",-0.5735
"ABI2B",0
"ABI3",-0.0046
"ABI3BP",0
"ABL1",-0.3644
"ABL1",-0.293
"ABL1",-1.3253
"ABL2",0.5956
"ABL2",-0.1568
"AblBP3",0
"ABLIM1",0.0496
"ABLIM2",0.3612
"ABLIM3",-0.706
"ABLIM3",-0.3816
"ABO",-0.5859
"ABP1",0
"abp620",0
"ABPZF",0
"ABR",-0.0567
"ABRA",0.0796
"ABRACL",0
"ABS",0
"ABT1",0.0667
"ABTB1",0
"ABTB2",0
"AC-III",0
"ACAA1",1.9092
"ACAA2",-3.0485
"ACACA",0
"ACACB",0
"ACAD10",0
"ACAD11",0
"ACAD8",-0.2057
"ACAD8",-0.5775
"ACAD9",0
"ACADL",0
"ACADM",0
"ACADS",0
"ACADSB",0
"ACADVL",0
"ACAN",0
"ACAP1",0
"ACAP2",0
"ACAP3",0
"ACAT1",0
"ACAT2",0
"ACBD3",-0.1529
"ACBD3",0.1579
"ACBD4",0
"ACBD5",0.0166
"ACBD5",-2.1643
"ACBD6",0.1213
"ACBD7",-0.85
"ACBP",0
"ACCN1",0
"ACCN2",0
"ACCN3",0
"ACCS",0
"ACCSL",0
"ACD",0
"ACDP2",0
"ACE",-0.4054
"ACE2",-0.1237
"ACER1",0
"ACER2",0
"ACER3",0
"ACF",0
"ACF7",0
"ACHE",0
"ACHR",0
"ACIN1",0
"ACKR1",0
"ACKR2",0
"ACKR3",0
"ACKR4",0
"ACLY",0
"ACMSD",0
"ACN9",0.1128
"ACO",0
"ACO1",0.2658
"ACO1",0.1935
"ACO2",0
"ACOD1",0
"ACON",0
"ACOT1",0
"ACOT11",0
"ACOT12",0
"ACOT13",0
"ACOT2",0
"ACOT4",0
"ACOT6",0
"ACOT7",0
"ACOT8",-1.349
"ACOT9",0.9642
"ACOT9",-0.2562
"ACOX1",-2.3225
"ACOX1",-0.3454
"ACOX2",0
"ACOX3",0
"ACOXL",0
"ACP1",0.3535
"ACP1",0.0597
"ACP2",-0.3367
"ACP2",-0.2914
"ACP33",0
"ACP5",0
"ACP6",0
"ACP7",0
"ACPP",-0.4022
"ACPP",-0.3291
"ACPT",0
"ACR",0
"ACRBP",0
"ACRC",0
"ACRV1",-0.1873
"ACSBG1",0
"ACSBG2",0
"ACSF2",0
"ACSF3",0
"ACSL1",1.8625
"ACSL3",0.3183
"ACSL3",-1.1032
"ACSL4",0
"ACSL5",0
"ACSL6",0.1147
"ACSM1",0
"ACSM2A",0
"ACSM2B",0
"ACSM3",0
"ACSM4",0
"ACSM5",0
"ACSM6",0
"ACSS1",0
"ACSS2",-6.5267
"ACSS2",-0.0373
"ACSS3",0
"ACT",0
"ACTA1",-0.4879
"ACTA2",-0.2161
"ACTB",0
"ACTBL2",0
"ACTC1",0
"ACTG1",0
"ACTG2",-0.316
"ACTL10",0
"ACTL6A",0.1154
"ACTL6B",0.0015
"ACTL7A",0
"ACTL7B",-0.308
"ACTL8",0
"ACTL9",0
"ACTN1",0
"ACTN2",0
"ACTN3",0
"ACTN4",0
"ACTR10",0
"ACTR1A",0
"ACTR1B",0
"ACTR2",0
"ACTR3",0.1938
"ACTR3",0.2208
"ACTR3",0.8059
"ACTR3B",0.0647
"ACTR3B",-0.2892
"ACTR3C",0
"ACTR5",-0.3325
"ACTR6",0
"ACTR8",-0.0176
"ACTRT1",0
"ACTRT2",0
"ACTRT3",0
"ACVR1",-0.3607
"ACVR1B",0.2687
"ACVR1B",-0.4705
"ACVR1C",0
"ACVR2A",0
"ACVR2B",0.3184
"ACVRL1",-0.309
"ACVRL1",-0.1671
"ACY1",0
"ACY3",0
"ACYP1",0
"ACYP2",0
"AD013",0
"AD023",0
"AD3LPAD5",0
"AD7C-NTP",0
"ADA",-0.7261
"ADAD1",0
"ADAD2",0
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM18",0
"ADAM19",0
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",-0.4356
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",-5.0778
"ADAM9",-0.1662
"ADAMDEC1",-0.6179
"ADAMTS1",-0.1161
"ADAMTS1",-0.2794
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0
"ADAMTS3",0.0378
"ADAMTS3",0.1482
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",-0.058
"ADAMTS6",0.2172
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",-0.1324
"ADAMTS9",-0.1981
"ADAMTSL1",0.0099
"ADAMTSL1",-0.1003
"ADAMTSL2",0
"ADAMTSL3",0.0847
"ADAMTSL3",-0.0986
"ADAMTSL4",-0.0184
"ADAMTSL4",-0.2487
"ADAMTSL4",-0.4919
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADAR3",0
"ADARB1",0.097
"ADARB1",0.0223
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",-0.3676
"ADC",-0.1389
"ADCK1",-0.3368
"ADCK2",0.2486
"ADCK2",-0.3159
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",-0.4073
"ADCY3",-0.5814
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",-0.6963
"ADD1",-0.6453
"ADD2",0
"ADD3",0.3307
"ADD3",-1.0689
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",0.347
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",0.778
"ADNP",-7.2636
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",-1.2842
"ADORA2A",-0.3376
"ADORA2B",0
"ADPGK",0
"ADPRH",-0.3885
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",0.0251
"ADRB2",-0.4189
"ADRB3",0
"ADRBK1",-0.226
"ADRM1",0.5164
"ADRM1",0.2504
"ADSL",0
"ADSS",0
"ADSSL1",-0.0999
"ADTRP",0
"AEBP1",1.1565
"AEBP1",0.2291
"AEBP2",-0.4519
"AEBP2",0.1687
"AEGL1",0
"AEN",0
"AES",-0.6982
"AES",-0.0104
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-0.0264
"AFDN",0
"AFF1",0.1486
"AFF1",0.2653
"AFF1",-0.0014
"AFF2",0
"AFF3",-0.3041
"AFF4",-0.2902
"AFF4",-0.1059
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-0.6438
"AGFG1",0
"AGFG2",0
"AGGF1",0.221
"AGGF1",-0.0858
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",-0.0926
"AGPAT3",0.6006
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",-1.4512
"AGPAT6",-0.6953
"AGPAT9",0
"AGPS",0
"AGR2",-1.436
"AGR3",0
"AGRIN",1.8571
"AGRIN",-0.104
"AGRN",0
"AGRP",-0.1287
"AGS1",0
"AGT",0.1093
"AGTPBP1",0
"AGTR1",0.0166
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",-0.341
"AHCTF1",-0.4478
"AHCTF1",-0.9411
"AHCY",-0.0455
"AHCY",-1.439
"AHCYL1",0.2078
"AHCYL2",0
"AHDC1",-0.8193
"AHDC1",-0.0415
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",-2.7678
"AHRR",-0.0104
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",-0.1556
"AIG1",0.0333
"aik2",0
"aik3",0
"AIM1",0.202
"AIM1L",0.0903
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",0.0409
"AIP",0.2859
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",-0.1572
"AIRE",-0.0387
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",1.3195
"AJUBA",0
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",0
"AK027173",0
"AK027209",0
"AK027315",0
"AK027541",0
"AK027667",0
"AK054718",0
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",0
"AK057576",0
"AK057652",0
"AK074144",0
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",0
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",0
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",0
"AK093416",0
"AK093532",0
"AK093987",0
"AK094154",0
"AK094175",0
"AK094334",0
"AK094447",0
"AK094623",0
"AK095167",0
"AK095300",0
"AK095583",0
"AK095707",0
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",0
"AK097085",0
"AK097197",0
"AK097322",0
"AK097472",0
"AK098081",0
"AK098134",0
"AK098220",0
"AK098427",0
"AK098478",0
"AK098511",0
"AK098597",0
"AK1",0
"AK123483",0
"AK123627",0
"AK123765",0
"AK123861",0
"AK124166",0
"AK124173",0
"AK124263",0
"AK124281",0
"AK124352",0
"AK124426",0
"AK124470",0
"AK124841",0
"AK124941",0
"AK125129",0
"AK126329",0
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",0
"AK129956",0
"AK130099",0
"AK130644",0
"AK130891",0
"AK2",-0.0999
"AK2",-0.0223
"AK3",-0.252
"AK304575",0
"AK3L1",0
"AK4",0
"AK5",0.2059
"AK5",0.0628
"AK6",0
"AK7",0
"AK8",0
"AK9",0
"AKAIN1",0
"AKAP1",0
"AKAP10",0
"AKAP11",0
"AKAP12",-0.3268
"AKAP13",-0.5015
"AKAP13",-0.7303
"AKAP14",0
"AKAP17A",0
"AKAP2",0
"AKAP3",0
"AKAP4",0
"AKAP5",0
"AKAP6",0
"AKAP7",-0.0416
"AKAP8",0
"AKAP8L",1.3797
"AKAP9",-0.1333
"AKAP9",-0.0302
"AKD1",0
"AKIP1",0
"AKIRIN1",0
"AKIRIN2",0
"AK0.0",-0.0389
"AK0.0D1",0
"AKR1A1",-0.1856
"AKR1B1",0
"AKR1B10",0
"AKR1B15",0
"AKR1C1",-0.222
"AKR1C1",-3.7324
"AKR1C1",3.4912
"AKR1C2",0
"AKR1C3",0.4934
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",0
"AKR7A3",0
"AKT1",0
"AKT1S1",0
"AKT2",0
"AKT3",-0.1553
"AKT3",0.4535
"AKTIP",0
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",0
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",0.2168
"ALDH1A3",-0.2597
"ALDH1B1",-0.7366
"ALDH1B1",-0.2661
"ALDH1L1",0
"ALDH1L2",0.139
"ALDH2",0
"ALDH3A1",0.1413
"ALDH3A2",-1.1438
"ALDH3B1",0
"ALDH3B2",-0.4023
"ALDH4A1",-0.1956
"ALDH4A1",0.0168
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",-0.094
"ALDH7A1",-0.1671
"ALDH8A1",0
"ALDH9A1",-2.6989
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",5.4834
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",-0.8365
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",-2.0205
"ALG9",-1.4732
"ALK",0.1024
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",-0.4067
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",1.0513
"ALMS1",-0.3277
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",1.0775
"ALOX5",0
"ALOX5AP",-0.0735
"ALOX5AP",-0.1895
"ALOXE3",-0.2763
"alpha-CP1",0
"ALPI",-0.1454
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",-0.1459
"ALS2CR13",0.4478
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.1011
"ALS2CR8",0.0714
"ALX1",0
"ALX3",-0.6928
"ALX4",0
"ALYREF",0
"AMAC1L2",-0.1939
"AMACR",-0.8312
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.3794
"AMHR2",0
"AMIGO1",0
"AMIGO2",1.4789
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-1.0793
"AMOT",-0.0359
"AMOTL1",0
"AMOTL2",-0.1434
"AMPD1",0
"AMPD2",0
"AMPD3",1.4231
"AMPD3",1.0585
"AMPH",0
"AMPK gamma2",0
"AMT",-0.1604
"AMT",-0.08
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",0.129
"AMZ2",0
"A0.0PC1",-0.4879
"A0.0PC10",0
"A0.0PC11",-0.145
"A0.0PC13",-1.0305
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.1077
"A0.0PC5",8.75
"A0.0PC7",-0.7444
"A0.0PC7",-1.0246
"ANG",0.9702
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",-1.5632
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",1.0653
"ANK3",0.6258
"ANKAR",0
"ANKDD1A",0.1295
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",-0.299
"ANKH",0.1644
"ANKHD1",-0.9315
"ANKHD1",-5.1181
"ANKHD1",-0.9083
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",-0.0332
"ANKRA2",0
"ANKRD1",0.0589
"ANKRD10",0.1218
"ANKRD10",-0.0196
"ANKRD11",0
"ANKRD12",-0.1991
"ANKRD12",-0.2099
"ANKRD13A",-0.5919
"ANKRD13A",1.2876
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",-0.1392
"ANKRD15",3.0145
"ANKRD16",0
"ANKRD17",1.9724
"ANKRD17",-0.6929
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",1.7261
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",-0.2671
"ANKRD28",1.5087
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.0849
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",-0.2341
"ANKRD42",0
"ANKRD43",-0.3567
"ANKRD43",0.2941
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.1721
"ANKRD47",-0.4402
"ANKRD49",-0.5486
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",0.1447
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",0.5184
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",2.3255
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",0.1127
"ANTXR2",-2.4568
"ANX14",0
"ANX3",0
"ANXA1",-0.1608
"ANXA10",0
"ANXA11",0.0136
"ANXA11",0.0901
"ANXA13",0
"ANXA2",0
"ANXA2P1",0.085
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.0513
"ANXA4",0.0499
"ANXA5",0.0031
"ANXA6",0
"ANXA7",0
"ANXA8",-0.0989
"ANXA8L1",0
"ANXA9",-0.0059
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.2641
"AOF1",-0.2623
"AOF2",-1.3419
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.0805
"AP1M1",-0.1439
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",0.2454
"AP3B1",0
"AP3B2",0
"AP3D1",-0.0448
"AP3D1",4.7121
"AP3M1",0
"AP3M2",-0.5424
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",-0.1969
"AP4E1",0
"AP4M1",-0.0618
"AP4S1",-0.2062
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",-0.3424
"APBA2",-0.3186
"APBA3",0
"APBB1",-0.0229
"APBB1",-0.8945
"APBB1IP",0
"APBB2",1.1649
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",1.0201
"APCDD1L",0
"APCS",0
"APE",0
"APEH",0.1783
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",0.4177
"APLN",0.7448
"APLN",2.8612
"APLNR",0
"APLP1",0
"APLP2",0.8755
"APLP2",-0.1963
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0.1902
"APOA2",0
"APOA4",-0.1803
"APOA4",-0.2922
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",0.6152
"APOBEC3A_B",0
"APOBEC3B",0.1689
"APOBEC3C",0.3028
"APOBEC3D",0
"APOBEC3F",0.2806
"APOBEC3G",0.8363
"APOBEC3H",0
"APOBEC4",0
"APOC1",2.5745
"APOC1",1.7724
"APOC3",-0.3062
"APOC4",-0.0495
"APOD",0
"APOE",-2.4472
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.1869
"APOL6",-0.0947
"APOL6",0.9068
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",-0.6103
"APPBP2",-0.4038
"APPBP2",-0.2406
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",0.3959
"AQP2",-0.7212
"AQP2",-0.3511
"AQP3",0.2175
"AQP3",0.4763
"AQP4",0
"AQP5",0
"AQP6",0.4592
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",-0.0972
"AQR",0
"AR",0.0717
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",-0.0077
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",-0.0796
"ARF5",0
"ARF6",-0.8008
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",-2.3013
"ARFGEF2",-0.3037
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
"ARG2",0
"ARGFX",0
"ARGLU1",0
"ARHGAP1",0
